file,lat,lng,name,website
77,23.270996,120.959457,關山嶺山,https://suan1219.blogspot.com/2006/03/blog-post.html
78,23.185598,120.911328,海諾南山,https://suan1219.blogspot.com/2022/02/3-2022111-13.html
79,24.336476,121.078059,中雪山,https://suan1219.blogspot.com/2021/10/56-2021923-28.html
80,24.258708,121.309867,閂山,https://suan1219.blogspot.com/2014/10/20141010-11.html
81,24.290393,121.389819,甘薯峰,https://suan1219.blogspot.com/2015/11/2015116-9_23.html
82,24.17761,121.244525,合歡山西峰,https://suan1219.blogspot.com/2009/06/20.html
83,24.380209,121.417448,審馬陣山,https://suan1219.blogspot.com/2010/05/blog-post_15.html
84,24.44996,121.321288,喀拉業山,https://suan1219.blogspot.com/2007/04/blog-post_7189.html
85,23.262774,120.900042,庫哈諾辛山,https://suan1219.blogspot.com/2009/02/blog-post_5.html
86,24.4595,121.216197,加利山,https://suan1219.blogspot.com/2020/07/2020616-18.html
87,23.907542,121.274785,白石山,https://suan1219.blogspot.com/2020/05/1-2020429-54.html
88,24.104728,121.388298,磐石山,https://suan1219.blogspot.com/2022/10/2022929-101.html
89,24.099441,121.466602,帕托魯山,https://suan1219.blogspot.com/2022/10/2022102-5.html
90,22.627075,120.76141,北大武山,https://suan1219.blogspot.com/2011/06/blog-post.html
91,23.694019,120.947166,西巒大山,https://suan1219.blogspot.com/2009/07/23.html
92,23.406038,121.026793,達芬山,https://suan1219.blogspot.com/2020/12/20201029-114-80-90km-3608m-3-7529-3496m.html
93,24.124914,121.445703,立霧主山,https://suan1219.blogspot.com/2022/10/2022102-5.html
94,23.872712,121.266118,安東軍山,https://suan1219.blogspot.com/2020/05/1-2020429-54.html
95,23.937997,121.271952,光頭山,https://suan1219.blogspot.com/2020/05/1-2020429-54.html
96,24.208264,121.379765,羊頭山,https://suan1219.blogspot.com/2006/10/blog-post_9.html
97,23.548389,121.032528,盆駒山,
98,23.232838,121.0787,布拉克桑山,
99,23.724508,121.239549,六順山,https://suan1219.blogspot.com/2016/06/30-2014329-30.html
100,23.45065,120.988479,鹿山,https://suan1219.blogspot.com/2022/06/2022614-15.html
